"replicate_id","living_size","total_size","seed","speciation","extinction"
51,50,213,151,1.04707355437087,0.709718516169092
51,100,854,151,1.01982859823084,0.744827416910181
51,150,1050,151,1.01317548671391,0.774816009981064
52,50,400,152,1.01532323993685,0.751625170659242
52,100,437,152,1.07515540969428,0.736361463005713
52,150,818,152,1.03569818719984,0.659719668700304
53,50,178,153,1.06435752915712,0.607289812837447
53,100,761,153,1.04212780526963,0.798148981252015
53,150,1264,153,0.993364881324999,0.688209068543333
54,50,256,154,1.04519558478347,0.571120980920039
54,100,929,154,1.01100210010762,0.723144513930631
54,150,1394,154,1.00167112468966,0.775710916334537
55,50,433,155,0.991953746426144,0.735013599387745
55,100,614,155,1.04438452314569,0.83949921806328
55,150,811,155,1.03717567597977,0.734435195869683
56,50,260,156,1.01030033726681,0.600091562945928
56,100,744,156,0.98437368118933,0.78014072763452
56,150,1103,156,1.03278946532689,0.780520939833201
57,50,428,157,1.04708181691359,0.799844822740445
57,100,670,157,0.995237716086172,0.677927152944463
57,150,674,157,1.01771088185665,0.639943475296256
58,50,400,158,1.00075150196287,0.699961295677782
58,100,842,158,1.04171234460977,0.828672467656929
58,150,1086,158,1.04167057105119,0.773438117466256
59,50,470,159,0.986352615898838,0.83697631750005
59,100,954,159,0.978810197929871,0.703130504299235
59,150,1289,159,0.991756064621898,0.796987252170237
60,50,310,160,1.08589415084389,0.854313352409444
60,100,676,160,1.02139807938553,0.825375938280173
60,150,1425,160,1.01356933736598,0.794747242989841
61,50,273,161,1.05162091629184,0.795086480394705
61,100,856,161,1.02043502275873,0.699225788568008
61,150,797,161,1.0476756497073,0.689517910737842
62,50,254,162,1.02967393412479,0.599173794840748
62,100,657,162,1.02250714221796,0.657672696217967
62,150,896,162,1.03997735191425,0.735402758981409
63,50,218,163,1.04709982620274,0.62949118696639
63,100,763,163,1.07611534646398,0.757744572511141
63,150,1160,163,0.9795738912139,0.860408287711187
64,50,239,164,1.07470160094582,0.614264943709586
64,100,594,164,1.00861635871411,0.753501910437495
64,150,1046,164,1.04421291886791,0.856444435679527
65,50,380,165,0.960801366026839,0.698243103071967
65,100,660,165,1.02944075401907,0.732390023626914
65,150,848,165,1.03417934383197,0.641612861475817
66,50,326,166,0.987525255342523,0.660835449873363
66,100,786,166,1.04770879167304,0.764059743015188
66,150,844,166,1.08189895050304,0.742240063202228
67,50,228,167,1.08834802232756,0.721156029696057
67,100,564,167,1.02723585523358,0.619878934887752
67,150,1051,167,0.9937939896585,0.72625612880266
68,50,246,168,1.10468113499093,0.832530130959237
68,100,422,168,1.05907999245449,0.632550629408533
68,150,915,168,1.05291877179423,0.787230612192479
69,50,273,169,1.03478356807201,0.712053916755941
69,100,371,169,1.01374449308998,0.612379658740666
69,150,986,169,1.04622539882981,0.740756917609607
70,50,146,170,0.966988281847292,0.397888416270452
70,100,913,170,1.00357077982538,0.771177957273086
70,150,1457,170,1.01016713773275,0.827695598099973
71,50,200,171,0.972729754802626,0.699768214746901
71,100,731,171,1.0345121734384,0.782013504629624
71,150,1027,171,1.02094255120624,0.735560017391051
72,50,385,172,1.01108376664963,0.776635969246833
72,100,778,172,0.99534309727572,0.600261272197569
72,150,1004,172,1.05214678903263,0.775493261698637
73,50,321,173,1.0687988428387,0.765240562057096
73,100,791,173,1.02679253306006,0.843706026300012
73,150,1244,173,0.975131160307198,0.747683663786986
74,50,230,174,1.04056790071616,0.508495786530997
74,100,805,174,0.98301838566047,0.726304836391951
74,150,729,174,1.10429142635597,0.770476478178768
75,50,179,175,1.10868276644194,0.673600215564413
75,100,540,175,1.06322105997122,0.785142091677201
75,150,869,175,1.04022496511377,0.793704925180388
76,50,229,176,1.03398477941163,0.735989693290567
76,100,661,176,1.01975689754452,0.786023568906581
76,150,946,176,1.01204409668474,0.82477717192125
77,50,291,177,1.0877844730643,0.773882821945025
77,100,786,177,1.02279476431674,0.868453095671165
77,150,779,177,1.03186376728746,0.577741808895006
78,50,374,178,1.01228132995486,0.796383687203609
78,100,447,178,1.05768812702786,0.766060721768706
78,150,924,178,1.00820322035643,0.734332273989982
79,50,479,179,1.0647900650019,0.797608988519341
79,100,852,179,0.995597527996986,0.84596527299488
79,150,919,179,1.02801257137476,0.824862175597088
80,50,259,180,1.10553590986722,0.657991576181951
80,100,596,180,1.07205539409354,0.696461828129951
80,150,1212,180,1.06294578184383,0.805900967615636
81,50,193,181,1.08855239630614,0.801797006344471
81,100,466,181,1.04716774448453,0.643535244677735
81,150,1041,181,1.00031542089451,0.703789270032772
82,50,155,182,1.19502111176867,0.832725019169462
82,100,375,182,1.0886711987771,0.817056769869089
82,150,1018,182,1.00304141024779,0.795645919358047
83,50,203,183,1.16783365054634,0.579646745896528
83,100,955,183,1.0153260124725,0.779028074101319
83,150,1121,183,0.99980939283185,0.690531714773072
84,50,223,184,1.06249302900823,0.50367542399151
84,100,636,184,0.990142768809221,0.699848413023176
84,150,1373,184,0.975146122785503,0.820741498057119
85,50,341,185,0.963592740211849,0.661527283811767
85,100,980,185,1.02878973916495,0.771017786448739
